Course Name,Role,Last Name,First Name,Affiliation,Location,Position at Affiliation,Notes,,
Frontiers in Reproduction,Teaching Assistant,Dressing,Gwen,University of Minnesota,,,,,
Frontiers in Reproduction,Teaching Assistant,Duncan,Francesca,Northwestern University,,,,,
Frontiers in Reproduction,Teaching Assistant,Gonzalez,Isabel,University of Virginia,,,,,
Frontiers in Reproduction,Teaching Assistant,Huang,Chen-Che (Jeff),University of Illinois,,,,,
Frontiers in Reproduction,Teaching Assistant,Jungnickel,Melissa,University of Massachusetts Medical School,,,,,
Frontiers in Reproduction,Teaching Assistant,Lee,Hoi Chang,"University of Massachusetts, Amherst",,,,,
Frontiers in Reproduction,Teaching Assistant,Malcuit,Chris,Worcester Polytechnic Institute,,,,,
Frontiers in Reproduction,Teaching Assistant,McDonald,Emily,University of Kansas Medical Center,,,,,
Frontiers in Reproduction,Teaching Assistant,Norris,Rachael,University of Connecticut Health Center,,,,,
Frontiers in Reproduction,Teaching Assistant,Perchellet,Antoine,University of Kansas Medical Center,,,,,
Frontiers in Reproduction,Teaching Assistant,Pires,Eusebio,University of Virginia,,,,,
Frontiers in Reproduction,Teaching Assistant,Ratzan,William,University of Connecticut,,,,,
Frontiers in Reproduction,Teaching Assistant,Rodriguez Sosa,Jose,University of Calgary,,,,,
Frontiers in Reproduction,Teaching Assistant,Runft,Linda,Amgen Inc.,,,,,
Frontiers in Reproduction,Teaching Assistant,Slusser,Joyce,University of Kansas Medical Center,,,,,
Frontiers in Reproduction,Teaching Assistant,Wakai,Takuya,"University of Massachusetts, Amherst",,,,,
Frontiers in Reproduction,Teaching Assistant,Wang,Jie,Baylor College of Medicine,,,,,
Frontiers in Reproduction,Teaching Assistant,Zhang,Ruina,Baylor College  of  Medicine,,,,,
Frontiers in Reproduction,Course Coordinator,Dille,Elizabeth,University of Kansas Medical Center,,,,,
Frontiers in Reproduction,Course Coordinator,Mebane,Dorianne,Marine Biological Laboratory,,,,,
Frontiers in Reproduction,Course Coordinator,Perez,Gloria,Michigan State University,,,,,
Frontiers in Reproduction,Course Assistant,Galanis,Allison,Bridgewater State College,,,,,
Frontiers in Reproduction,Student,Amaral,Sandra,University of Coimbra,,,,,
Frontiers in Reproduction,Student,Care,Alison,University of Adelaide,,,,,
Frontiers in Reproduction,Student,Evans,Jemma,Prince Henry's Institute,,,,,
Frontiers in Reproduction,Student,Fernandez,Marina,"University of California, San Diego",,,,,
Frontiers in Reproduction,Student,Galdones,Eugene,Northwestern University,,,,,
Frontiers in Reproduction,Student,Garovic,Vesna,Mayo Clinic,,,,,
Frontiers in Reproduction,Student,Goyal,Ravi,Loma Linda University,,,,,
Frontiers in Reproduction,Student,Jimenez,Patricia,Washington University in St. Louis,,,,,
Frontiers in Reproduction,Student,Joshi,Niraj,The M S University of Baroda,,,,,
Frontiers in Reproduction,Student,Kong,Betty,Northwestern University,,,,,
Frontiers in Reproduction,Student,Kristensen,Stine Gry,University Hospital of Copenhagen,,,,,
Frontiers in Reproduction,Student,Lorenzon,Aline,University of Sao Paulo,,,,,
Frontiers in Reproduction,Student,Lowther,Katie,University of Connecticut Health Center,,,,,
Frontiers in Reproduction,Student,Nabeshima,Hiroshi,Tohoku University Hospital,,,,,
Frontiers in Reproduction,Student,Purcell,Scott,Washington University in St. Louis,,,,,
Frontiers in Reproduction,Student,Sokalska,Anna,"University of California, Davis",,,,,
Microbial Diversity,Course Director,Buckley,Daniel,Cornell University,,,June 12-July 29,,
Microbial Diversity,Course Director,Zinder,Stephen,Cornell University,,,,,
Microbial Diversity,Faculty,Croal,Laura,Massachusetts Institute of Technology,,,,,
Microbial Diversity,Faculty,Hugenholtz,Phil,DOE Joint Genome Institute,,,,,
Microbial Diversity,Faculty,Metcalf,William,University of Illinois,,,,,
Microbial Diversity,Faculty,Orphan,Victoria,California Institute of Technology,,,,,
Microbial Diversity,Faculty,Overmann,Joerg,International Leibniz Research School,,,,,
Microbial Diversity,Faculty,Thauer,Rolf,Max Planck Institute ,,,,,
Microbial Diversity,Faculty,Wolfe,Ralph,University of Illinois Urbana-Champaign,,,,,
Microbial Diversity,Lecturer,Angenent,Lars,Cornell University,,,,,
Microbial Diversity,Lecturer,Baross,John,University of Washington,,,,,
Microbial Diversity,Lecturer,Breznak,John,Michigan State University,,,,,
Microbial Diversity,Lecturer,Chisholm,Penny,Massachusetts Institute of Technology,,,,,
Microbial Diversity,Lecturer,DeLong,Edward,Massachusetts Institute of Technology,,,,,
Microbial Diversity,Lecturer,Greenberg,Peter,University of Washington,,,,,
Microbial Diversity,Lecturer,Harwood,Caroline,University of Washington,,,,,
Microbial Diversity,Lecturer,Haselkorn,Robert,University of Chicago,,,,,
Microbial Diversity,Lecturer,He,Shaomei,U.S. Department of Energy,,,,,
Microbial Diversity,Lecturer,Huber,Julie,Marine Biological Laboratory,,,,,
Microbial Diversity,Lecturer,Katz,Laura,Smith College,,,,,
Microbial Diversity,Lecturer,Kolter,Roberto,Harvard Medical School,,,,,
Microbial Diversity,Lecturer,Kuenen,J.,Delft University of Technology,,,,,
Microbial Diversity,Lecturer,Kyrpides,Nikos,DOE Joint Genome Institute,,,,,
Microbial Diversity,Lecturer,Leadbetter,Jared,California Institute of Technology,,,,,
Microbial Diversity,Lecturer,Ley,Ruth,Cornell University,,,,,
Microbial Diversity,Lecturer,McFall-Ngai,Margaret,University of Wisconsin-Madison,,,,,
Microbial Diversity,Lecturer,Methe,Barbara,J Craig Venter Institute,,,,,
Microbial Diversity,Lecturer,Nealson,Ken,University of Southern California,,,,,
Microbial Diversity,Lecturer,Pace,Norman,University of Colorado,,,,,
Microbial Diversity,Lecturer,Polz,Martin,Massachusetts Institute of Technology,,,,,
Microbial Diversity,Lecturer,Rocap,Gabrielle,University of Washington,,,,,
Microbial Diversity,Lecturer,Ruby,Edward,University of Wisconsin-Madison,,,,,
Microbial Diversity,Lecturer,Sogin,Mitchell,Marine Biological Laboratory,,,,,
Microbial Diversity,Lecturer,Sorensen,Ketil,Danish Technological Institute,,,,,
Microbial Diversity,Lecturer,Sun,Shulei,"University of California, San Diego",,,,,
Microbial Diversity,Lecturer,Suttle,Curtis,University of British Columbia,,,,,
Microbial Diversity,Lecturer,Zehr,Jonathan,"University of California, Santa Cruz",,,,,
Microbial Diversity,Teaching Assistant,Fullerton,Heather,Cornell University,,,,,
Microbial Diversity,Teaching Assistant,Kulkarni,Gargi,University of Illinois,,,,,
Microbial Diversity,Teaching Assistant,Moraru,Cristina,Max Planck Institute for Marine Microbiology,,,,,
Microbial Diversity,Teaching Assistant,Pepe-Ranney,Chuck,Colorado School of Mines,,,,,
Microbial Diversity,Teaching Assistant,Price-Whelan,Alexa,Massachusetts Institute of Technology,,,,,
Microbial Diversity,Teaching Assistant,Rowe,Annette,Cornell University,,,,,
Microbial Diversity,Course Coordinator,Ward,Rebekah,The Atlanta School,,,,,
Microbial Diversity,Course Assistant,Sitler,Killian,N/A,,,,,
Microbial Diversity,Student,Campbell,Kate,U.S. Geological Survey,,,,,
Microbial Diversity,Student,Hall,Edward,University of Vienna,,,,,
Microbial Diversity,Student,Henriksen,James,Idaho National Laboratory,,,,,
Microbial Diversity,Student,Humphrey,Parris,University of Arizona,,,,,
Microbial Diversity,Student,Irizarry,Ivelisse,Universidad del Turabo,,,,,
Microbial Diversity,Student,Jaekel,Ulrike,Max Planck Institute for Marine Microbiology,,,,,
Microbial Diversity,Student,Kelly,Libusha,Massachusetts Institute of Technology,,,,,
Microbial Diversity,Student,Li,Meng,University of Hong Kong,,,,,
Microbial Diversity,Student,Ling,Alison,"University of Colorado, Boulder",,,,,
Microbial Diversity,Student,Melton,Emily,Eberhard-Karls-Universitat Tubingen,,,,,
Microbial Diversity,Student,Meredith,Laura,Massachusetts Institute of Technology,,,,,
Microbial Diversity,Student,Mondo,Stephen,Cornell University,,,,,
Microbial Diversity,Student,Pavissich,Juan,University of Notre Dame,,,,,
Microbial Diversity,Student,Sharon,Gil,Tel Aviv University,,,,,
Microbial Diversity,Student,Singer,Esther,University of Southern California,,,,,
Microbial Diversity,Student,Wang,Harris,Harvard University,,,,,
Microbial Diversity,Student,Wilbanks,Elizabeth,"University of California, Davis",,,,,
Microbial Diversity,Student,Williams,David,University of Connecticut,,,,,
Microbial Diversity,Student,Xu,Yan,Princeton University,,,,,
Neurobiology,Course Director,Davis,Graeme,"University of California, San Francisco",,,June 5-August 8,,
Neurobiology,Course Director,Jin,Yishi,"University of California, San Diego",,,,,
Neurobiology,Faculty,Aizenman,Carlos,Brown University,,,,,
Neurobiology,Faculty,Araneda,Ricardo,University of Maryland,,,,,
Neurobiology,Faculty,Barr,Maureen,Rutgers University,,,,,
Neurobiology,Faculty,Bautista,Diana,"University of California, Berkeley",,,,,
Neurobiology,Faculty,Buchanan,JoAnn,Stanford University,,,,,
Neurobiology,Faculty,Bureau,Ingrid,Institut National de la Sante et de la Recherche Medicale,,,,,
Neurobiology,Faculty,Callaway,Ed,The Salk Institute,,,,,
Neurobiology,Faculty,Chisholm,Andrew,"University of California,San Diego",,,,,
Neurobiology,Faculty,Commons,Kathryn,Children's Hospital/Harvard Medical School,,,,,
Neurobiology,Faculty,Dalva,Matthew,University of Pennsylvania,,,,,
Neurobiology,Faculty,DeGiorgis,Joseph,Providence College,,,,,
Neurobiology,Faculty,Diaz,Elva,"University of California, Davis",,,,,
Neurobiology,Faculty,Dickinson,Michael,California Institute of Technology,,,,,
Neurobiology,Faculty,Doetsch,Fiona,Columbia University,,,,,
Neurobiology,Faculty,Eaton,Benjamin,"University of Texas Health Science Center, San Antonio ",,,,,
Neurobiology,Faculty,Galbraith,Catherine,National Institutes of Health,,,,,
Neurobiology,Faculty,Galbraith,James,National Institutes of Health,,,,,
Neurobiology,Faculty,Johnston,Daniel,University of Texas at Austin,,,,,
Neurobiology,Faculty,Llano,Isabel,Centre National de la Recherche Scientifique,,,,,
Neurobiology,Faculty,Maricq,Andres,University of Utah,,,,,
Neurobiology,Faculty,Marty,Alain,Centre National de la Recherche Scientifique,,,,,
Neurobiology,Faculty,McCleskey,Ed,Howard Hughes Medical Institute,,,,,
Neurobiology,Faculty,Micheva,Kristina,Stanford University,,,,,
Neurobiology,Faculty,Misgeld,Thomas,Technical University Munich,,,,,
Neurobiology,Faculty,Ruthazer,Edward,McGill University,,,,,
Neurobiology,Faculty,Sack,Jon,Protean Research,,,,,
Neurobiology,Faculty,Scheiffele,Peter,Biozentrum University Basel,,,,,
Neurobiology,Faculty,Schweizer,Felix,"University of California, Los Angeles",,,,,
Neurobiology,Faculty,Smith,Stephen,Stanford University School of Medicine,,,,,
Neurobiology,Faculty,Washbourne,Philip,University of Oregon,,,,,
Neurobiology,Faculty,Yasuda,Ryohei,Duke University Medical Center,,,,,
Neurobiology,Faculty,Zuo,Yi,"University of California, Santa Cruz",,,,,
Neurobiology,Lecturer,Bean,Bruce,Harvard Medical School,,,,,
Neurobiology,Lecturer,Brzustowicz,Linda,Rutgers University,,,,,
Neurobiology,Lecturer,Chisholm,Andrew,"University of California, San Diego",,,,,
Neurobiology,Lecturer,Greenberg,Michael,Harvard Medical School,,,,,
Neurobiology,Lecturer,Harris,Kristen,University of Texas at Austin,,,,,
Neurobiology,Lecturer,Kramer,Richard,"University of California, Berkeley",,,,,
Neurobiology,Lecturer,Lichtman,Jeff,Harvard University,,,,,
Neurobiology,Lecturer,Llinas,Rodolfo,New York University Medical School,,,,,
Neurobiology,Lecturer,MacKinnon,Roderick,The Rockefeller University/Howard Hughes Medical Institute,,,,,
