Institution,Institution URI
Westat Research Corporation,http://history.archives.mbl.edu/concepts/institution/1d4222bf-bcdf-49e8-a5b1-5c31de7c8556
Chesapeake Bay Institute,http://history.archives.mbl.edu/concepts/institution/6b9220c1-9f1b-4d54-9c51-44fed285c92e
Monmouth College,http://history.archives.mbl.edu/concepts/institution/d332befd-ff3b-4f69-b547-a1eb390fadcb
Institut Curie Umr168,http://history.archives.mbl.edu/concepts/institution/131c4c39-981b-4e0f-8815-794acef6d056
University Of Oklahoma Medical School,http://history.archives.mbl.edu/concepts/institution/d22639a6-453e-425a-acea-4f35b4d03a61
New Hampshire State Normal School,http://history.archives.mbl.edu/concepts/institution/8c422b67-2425-4559-9464-62c949728d7c
Tremont Research Institute,http://history.archives.mbl.edu/concepts/institution/a736dfee-8490-4b22-a29b-25a79133b6d6
Federal Bureau Of Investigation Laboratory,http://history.archives.mbl.edu/concepts/institution/a1a288ea-b0c3-49d6-b7ec-16549468ab0e
Childrens Hospital Los Angeles,http://history.archives.mbl.edu/concepts/institution/b5c898b0-528f-4f50-a311-eb8d37fbb4a4
Institute For Genetic Engineering And Molecular Biology Consejo Nacional De Investigaciones Cientificas Y Tecnicas,http://history.archives.mbl.edu/concepts/institution/6da79767-f678-42bc-9f50-0440a6a95fc9
Baylor College Of Medicine,http://history.archives.mbl.edu/concepts/institution/d2912c40-84f8-47f6-99d5-d9fdf887e6ec
Department Of Biology University Of Alabama,http://history.archives.mbl.edu/concepts/institution/74209abb-1a3d-4080-9d05-f43f0dcd9439
Hebrew Home Of Greater Washington,http://history.archives.mbl.edu/concepts/institution/216e4d28-c253-4120-b9d4-9645a5b26843
Institute Of Neuroscience,http://history.archives.mbl.edu/concepts/institution/b37f16f1-2ccc-47ab-9231-b0263b648fa0
Chungnam National University,http://history.archives.mbl.edu/concepts/institution/573db970-a13f-4bde-a744-41bd1f763d72
Hhmi University Of California San Diego,http://history.archives.mbl.edu/concepts/institution/589f71c0-834c-4c6d-865a-54f8868de458
Garden Park Medical Center,http://history.archives.mbl.edu/concepts/institution/57693447-0370-4574-82b7-d3199d8a5065
Lafayette College,http://history.archives.mbl.edu/concepts/institution/7a93bee6-db46-49e7-8abb-30ef8856eca0
Union College,http://history.archives.mbl.edu/concepts/institution/9fef29f0-547f-4df3-a6c4-0171bc20f4d4
American University In Cairo,http://history.archives.mbl.edu/concepts/institution/570323a9-ba73-44c7-8d56-8cc5ec19bfa8
Gustavus Adolphus College,http://history.archives.mbl.edu/concepts/institution/7247cda2-7c30-4b8f-980a-f8b0e7150835
University Of Adelaide,http://history.archives.mbl.edu/concepts/institution/21eaefd7-001c-431e-88df-8b3ee3830971
Kansas University Medical Center,http://history.archives.mbl.edu/concepts/institution/c5d73916-abff-4475-abe6-de95e0766bd9
New Mexico State University,http://history.archives.mbl.edu/concepts/institution/fcbc30a2-ba4e-45c2-ab09-6905afd7bd29
Leitz Company,http://history.archives.mbl.edu/concepts/institution/d2f1f249-2710-493f-8d27-7d44ffab5b76
Max Planck Institute Fur Molekulare Biologie,http://history.archives.mbl.edu/concepts/institution/b6d1c431-d15e-4a2c-9e72-9ad0ed6a438a
Lasell Seminary,http://history.archives.mbl.edu/concepts/institution/6230dd1f-9b64-4cc7-ab2a-a2cb90cb23ad
Research Imaging Systems Inc,http://history.archives.mbl.edu/concepts/institution/963e0b3b-ac68-469b-9504-c04f053f40eb
National Biomedical Research Foundation,http://history.archives.mbl.edu/concepts/institution/88885e81-4397-41b0-9564-5f9df8e0e622
Umist,http://history.archives.mbl.edu/concepts/institution/a78f1a1b-6efa-416b-a973-2013a12bf9c2
State Lobster Hatchery And Research Station,http://history.archives.mbl.edu/concepts/institution/9e2b7957-981b-49bf-a149-a47167b31c04
Imperial College,http://history.archives.mbl.edu/concepts/institution/a3705c7b-983b-4e97-8281-ba844d579ead
University Of Arizona Health Sciences Library,http://history.archives.mbl.edu/concepts/institution/7f6009fa-dc6c-41b2-8f14-3a1aafb5f54f
George Mason College Of University Of Virginia,http://history.archives.mbl.edu/concepts/institution/6d4cf926-c9f8-4ebf-88b2-ede095017be6
Guggenheim Dental Clinic,http://history.archives.mbl.edu/concepts/institution/5960705a-07db-4aab-92ed-07eff9353a56
Autonomous University Of State Of Puebla,http://history.archives.mbl.edu/concepts/institution/127fa52d-bacb-4483-907a-e28ce5c54dbb
Trene University,http://history.archives.mbl.edu/concepts/institution/23a0a374-47b3-44f4-a1de-0ca5d12a3071
Roche Institute Of Molecular Biology,http://history.archives.mbl.edu/concepts/institution/982e5e64-063b-4d5f-8a12-cdcb944299d2
Central State Teachers College,http://history.archives.mbl.edu/concepts/institution/e2e8a910-1424-4e92-a1ff-76d984706015
